Talk name,Speaker,Comment,Video size,Length (mins),Conf,,,Filename (no suffix),New filename root
Designing and Developing Custom Controls,Matt Gemmell,,157MB,60,NSConference 1 - April 2009,,,01NSConfMain032009,NSConf01
Integrating With The Photography Eco System,Fraser Spiers,,107MB,45,NSConference 1 - April 2009,,,02NSConfMain032009,NSConf01
New Cocoa Programming SuperPowers,Philippe Mougin,,132MB,61,NSConference 1 - April 2009,,,03NSConfOneMarch2009,NSConf01
The Foundations of Objective C,Andre Pang,,154MB,59,NSConference 1 - April 2009,,,04NSConfOneMarch2009,NSConf01
Pimp My App,Mike Lee,,163MB,61,NSConference 1 - April 2009,,,05NSConfOneMarch2009,NSConf01
What a Performance,Drew McCormack,,154MB,56,NSConference 1 - April 2009,,,06NSConfOneMarch2009,NSConf01
Building A Secure Cocoa Program,Graham Lee,,167MB,63,NSConference 1 - April 2009,,,07NSConfOneMarch2009,NSConf01
"Core Animation, Animating Your UI",Bill Dudney,,158MB,57,NSConference 1 - April 2009,,,08NSConfOneMarch2009,NSConf01
Spotlight and Quicklook vs Core Data,Marcus Zarra,,87MB,33,NSConference 1 - April 2009,,,09NSConfOneMarch2009,NSConf01
The Very First Cocoa Face Off,,,177MB,56,NSConference 1 - April 2009,,,10NSConfOneMarch2009,NSConf01
Engineering Life,Mike Lee,,109MB,57,NSConference 2 - March 2010,,,01NSConfTwoMarch2010,NSConf02
Spelunking OS X,Johnathan Rentzch,,109MB,71,NSConference 2 - March 2010,,,02NSConfTwoMarch2010,NSConf02
Clean Code,Dave Dribin,,149MB,56,NSConference 2 - March 2010,,,03NSConfTwoMarch2010,NSConf02
Data Presentation in Mac Apps,Drew McCormack,,118MB,60,NSConference 2 - March 2010,,,04NSConfTwoMarch2010,NSConf02
Core Animation,Marcus Zarra,,120MB,60,NSConference 2 - March 2010,,,05NSConfTwoMarch2010,NSConf02
Making Mistakes Impossible,Matt Gemmell,,106MB,57,NSConference 2 - March 2010,,,06NSConfTwoMarch2010,NSConf02
Signing Your Code,Graham Lee,,120MB,60,NSConference 2 - March 2010,,,07NSConfTwoMarch2010,NSConf02
